nc,kc,mc,mr,nr,mv,nu,time
512,64,256,32,8,2,8,100.310774
512,64,256,32,8,4,2,128.9369793333333
512,64,256,32,8,4,4,120.33366233333334
512,64,256,32,8,4,8,107.16204833333335
512,64,256,32,8,8,2,131.145963
512,64,256,32,8,8,4,114.463686
512,64,256,32,8,8,8,136.941242
512,64,256,32,8,16,2,123.07911333333332
512,64,256,32,8,16,4,138.71126966666668
512,64,256,32,8,16,8,99.801661
512,64,256,32,16,2,2,136.89112966666664
512,64,256,32,16,2,4,103.21890266666666
512,64,256,32,16,2,8,102.56928766666667
512,64,256,32,16,2,16,98.498175
512,64,256,32,16,4,2,149.4212873333333
512,64,256,32,16,4,4,111.31118066666667
512,64,256,32,16,4,8,119.12298833333334
512,64,256,32,16,4,16,95.08471333333333
512,64,256,32,16,8,2,131.75321300000002
512,64,256,32,16,8,4,107.52510366666667
512,64,256,32,16,8,8,115.87558133333334
512,64,256,32,16,8,16,102.33193
512,64,256,32,16,16,2,120.27829
512,64,256,32,16,16,4,138.878127
512,64,256,32,16,16,8,112.151605
512,64,256,32,16,16,16,113.453993
512,64,256,32,32,2,2,117.79631333333333
512,64,256,32,32,2,4,111.65110933333335
512,64,256,32,32,2,8,116.94266866666668
512,64,256,32,32,2,16,109.52890666666666
512,64,256,32,32,4,2,119.70819933333333
512,64,256,32,32,4,4,116.63071133333331
512,64,256,32,32,4,8,107.58442733333334
512,64,256,32,32,4,16,97.99229899999999
512,64,256,32,32,8,2,123.30337
512,64,256,32,32,8,4,109.85166366666667
512,64,256,32,32,8,8,137.28029933333335
512,64,256,32,32,8,16,96.20512466666668
512,64,256,32,32,16,2,116.72820733333334
512,64,256,32,32,16,4,134.62014933333333
512,64,256,32,32,16,8,101.18545733333332
512,64,256,32,32,16,16,97.67184066666665
512,64,512,2,2,2,2,98.52043966666666
512,64,512,2,4,2,2,129.0474186666667
512,64,512,2,4,2,4,66.01217133333334
512,64,512,2,8,2,2,148.54001699999998
512,64,512,2,8,2,4,143.9452576666667
512,64,512,2,8,2,8,59.56872033333333
512,64,512,2,16,2,2,153.84573
512,64,512,2,16,2,4,151.62699766666668
512,64,512,2,16,2,8,143.20267500000003
512,64,512,2,16,2,16,71.85650266666666
512,64,512,2,32,2,2,129.33179533333333
512,64,512,2,32,2,4,129.70411033333332
512,64,512,2,32,2,8,134.58427966666665
512,64,512,2,32,2,16,144.30243366666667
512,64,512,4,2,2,2,68.26238466666668
512,64,512,4,2,4,2,68.38929266666666
512,64,512,4,4,2,2,53.58902166666667
512,64,512,4,4,2,4,59.35252966666667
512,64,512,4,4,4,2,115.35707866666668
512,64,512,4,4,4,4,59.533945666666675
512,64,512,4,8,2,2,48.325289999999995
512,64,512,4,8,2,4,47.650942
512,64,512,4,8,2,8,51.325556999999996
512,64,512,4,8,4,2,135.41421
512,64,512,4,8,4,4,120.77992199999998
512,64,512,4,8,4,8,49.090691
512,64,512,4,16,2,2,120.20717366666663
512,64,512,4,16,2,4,119.75914433333334
512,64,512,4,16,2,8,120.60085733333334
512,64,512,4,16,2,16,122.80488600000002
512,64,512,4,16,4,2,120.03142466666667
512,64,512,4,16,4,4,123.07917900000001
512,64,512,4,16,4,8,121.32242433333333
512,64,512,4,16,4,16,117.57344933333331
512,64,512,4,32,2,2,110.55872233333334
512,64,512,4,32,2,4,130.542626
512,64,512,4,32,2,8,113.07380166666667
512,64,512,4,32,2,16,118.099859
512,64,512,4,32,4,2,108.62279333333335
512,64,512,4,32,4,4,136.66581333333335
512,64,512,4,32,4,8,115.97256133333333
512,64,512,4,32,4,16,112.02781266666668
512,64,512,8,2,2,2,58.32583233333333
512,64,512,8,2,4,2,58.668226
512,64,512,8,2,8,2,69.89496033333334
512,64,512,8,4,2,2,48.918518666666664
512,64,512,8,4,2,4,46.56954066666667
512,64,512,8,4,4,2,56.571268666666654
512,64,512,8,4,4,4,54.626919
